🤠雷蒙影视直播,#genre#
雷蒙影视直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2026-01-31,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
🇨🇳央视,#genre#
CCTV1,http://183.155.254.220:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路1』
CCTV1,http://115.230.188.101:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路2』
CCTV1,http://115.220.243.30:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路3』
CCTV1,http://e2.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$雷蒙影视•IPV4『线路4』
CCTV1,http://60.164.229.62:4040/udp/239.255.30.101:8231$雷蒙影视•IPV4『线路5』
CCTV1,http://113.104.185.136:7088/udp/239.77.0.119:5146$雷蒙影视•IPV4『线路6』
CCTV1,http://113.100.31.37:4022/udp/239.77.0.129:5146$雷蒙影视•IPV4『线路7』
CCTV1,http://113.104.185.136:7088/udp/239.77.0.129:5146$雷蒙影视•IPV4『线路8』
CCTV1,http://223.144.221.151:3000/udp/239.76.253.151:9000$雷蒙影视•IPV4『线路9』
CCTV1,http://58.32.18.53:4022/udp/233.18.204.168:5140$雷蒙影视•IPV4『线路10』
CCTV1,http://183.220.107.138:4022/rtp/239.11.0.65:5140$雷蒙影视•IPV4『线路11』
CCTV1,http://113.100.31.37:4022/udp/239.77.0.119:5146$雷蒙影视•IPV4『线路12』
CCTV1,http://58.32.18.53:4022/udp/233.18.204.52:5140$雷蒙影视•IPV4『线路13』
CCTV1,http://106.53.99.30/tv/jzb.php?id=cctv1$雷蒙影视•IPV4『线路14』
CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1$雷蒙影视•IPV4『线路15』
CCTV1,http://123.182.60.29:9002/hls/1/index.m3u8$雷蒙影视•IPV4『线路16』
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$雷蒙影视•IPV4『线路17』
CCTV1,http://58.17.48.228:808/hls/1/index.m3u8$雷蒙影视•IPV4『线路18』
CCTV1,http://43.251.226.89:8080/play/1.m3u8$雷蒙影视•IPV4『线路19』
CCTV2,http://183.155.254.220:9999/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路1』
CCTV2,http://115.230.188.101:9999/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路2』
CCTV2,http://115.220.243.30:9999/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路3』
CCTV2,http://60.164.229.62:4040/udp/239.255.30.179:8231$雷蒙影视•IPV4『线路4』
CCTV2,http://223.144.221.151:3000/udp/239.76.253.152:9000$雷蒙影视•IPV4『线路5』
CCTV2,http://113.100.31.37:4022/udp/239.77.1.158:5146$雷蒙影视•IPV4『线路6』
CCTV2,http://113.104.185.136:7088/udp/239.253.43.17:5146$雷蒙影视•IPV4『线路7』
CCTV2,http://58.32.18.53:4022/udp/233.18.204.68:5140$雷蒙影视•IPV4『线路8』
CCTV2,http://113.100.31.37:4022/udp/239.253.43.17:5146$雷蒙影视•IPV4『线路9』
CCTV2,http://183.220.107.138:4022/rtp/239.11.0.108:5140$雷蒙影视•IPV4『线路10』
CCTV2,http://113.104.185.136:7088/udp/239.77.1.158:5146$雷蒙影视•IPV4『线路11』
CCTV2,http://106.53.99.30/tv/jzb.php?id=cctv2$雷蒙影视•IPV4『线路12』
CCTV2,http://8.138.7.223/tv/migu3.php?id=cctv2$雷蒙影视•IPV4『线路13』
